oktmo;date;pasta;legumes;bread;flour;rice;groats;potatoes;сucumbers_tomatoes;vegetables;roots;сabbage;fruit;sugar;candy;biscuits;mutton;beef;chicken;pork;fish;herring;curd;sour_creame;butter;milk_kefir;cheese;egg;margarine;oil;salt;spice;tea;cpi_1;cpi_2;cpi_3;pasta_value;legumes_value;bread_value;flour_value;rice_value;groats_value;potatoes_value;сucumbers_tomatoes_value;vegetables_value;roots_value;сabbage_value;fruit_value;sugar_value;candy_value;biscuits_value;mutton_value;beef_value;chicken_value;pork_value;fish_value;herring_value;curd_value;sour_creame_value;butter_value;milk_kefir_value;cheese_value;egg_value;margarine_value;oil_value;salt_value;spice_value;tea_value;ai92;ai95;ai98;dt;ai92_value;ai95_value;ai98_value;dt_value
99000000000;11.01.2019;58,21;91,95;69,87;29,68;43,53;30,86;26,16;135,83;27,2;51,87;32,68;113,4;49,94;352,97;204,82;0;359,86;182,9;303,8;0;200,57;366,99;196,37;560,31;63,49;407,96;5,81;137,93;79,59;17,92;30,12;67,51;5 433,65;4 637,57;5 580,44;3 354,74;598,37;7 696,97;2 103,53;1 428,38;2 683,98;1 825,65;1 765,64;2 032,50;1 872,91;869,69;4 579,20;4 693,00;1 159,44;1 415,94;0;144,83;3 638,08;620,77;0;402,86;503,91;647,96;364,93;8 362,51;986,1;40 026,00;44,24;2 070,53;624,66;4 347,07;2 544,00;42,82;44,59;45,24;53,44;42 742,19;26 644,21;1 385,95;4 108,77
99000000000;12.01.2019;58,57;99,31;73,15;29,8;58,87;32,34;27,63;126,38;27,38;52,5;34,73;109,7;49,75;286,93;194,63;0;397,56;186,79;305,63;0;203,56;365,16;207,29;564,54;64,63;419,12;5,94;134,05;80,28;17,09;29,57;71,31;5 555,92;4 743,66;5 650,18;3 376,57;634,97;5 866,15;2 194,85;1 208,82;2 496,92;2 423,05;1 934,88;2 313,72;2 156,98;820,06;4 820,30;3 891,09;965,16;1 178,57;0;143,18;3 711,31;553,09;0;372,53;387,85;490,21;358,58;7 459,20;1 009,01;40 032,00;47,5;2 145,65;530,66;4 602,38;2 290,00;42,73;44,53;45,13;53,37;42 841,36;23 409,40;1 654,99;3 501,53
99000000000;13.01.2019;58,22;99,53;72,28;29,48;56,43;33,83;25,79;130,73;26,57;52,98;33,61;102,1;48,42;285,37;190,32;0;431,94;179,69;309,37;0;192,16;364,75;213,85;560,55;62,93;416,83;5,6;129,63;79,55;16,64;27,99;76,83;5 493,40;4 695,59;5 561,38;2 832,41;492,45;5 534,03;1 870,08;1 072,76;1 958,40;2 225,52;1 797,36;1 867,64;1 800,31;685,29;4 423,40;3 303,37;929,63;1 064,67;0;102,81;2 872,86;381,78;0;301,33;321,86;347,88;304,66;7 204,59;827,79;40 644,50;40,48;1 667,94;460,36;3 738,54;2 216,00;42,72;44,52;45,15;53,5;33 049,74;21 318,64;1 249,72;810,85
99000000000;14.01.2019;57,15;92,89;71,1;29,68;58,21;31,87;26,13;132,42;27,23;54,41;32,03;111,7;49,45;281,11;195,89;0;0;180;303,29;0;186,46;384,7;213,26;578,6;63,81;433,66;5,7;127,94;79,91;17,05;27,81;68,72;5 568,08;4 756,42;5 702,71;2 805,33;489,53;6 154,00;1 401,74;856,02;2 282,97;1 618,97;1 292,52;1 704,56;1 470,88;688,62;3 525,40;3 588,11;980,8;1 148,71;0;0;2 721,53;423,45;0;264,4;348,93;389,15;261,34;7 200,47;706,78;32 585,00;33,27;1 621,05;389,16;3 313,17;2 009,00;42,73;44,57;45,18;53,18;42 382,81;23 561,49;1 400,42;3 545,15
99000000000;15.01.2019;56,55;87,52;69,53;29,81;51,54;31,53;27,37;135,99;27,17;56,56;35,02;117,5;49,4;284,27;201,47;0;343,06;185,34;300,54;0;191,33;374,95;216,98;582,03;64,91;438,84;5,78;129,27;79,02;16,78;29,22;69,88;5 498,77;4 690,12;5 670,90;3 153,09;532,29;7 102,70;1 701,53;1 126,88;2 297,09;1 804,25;1 400,81;1 880,36;1 348,76;917,03;3 857,70;3 867,47;1 045,39;1 323,20;0;77,48;3 487,06;625,21;0;354,99;378,33;392,15;303,58;7 131,48;721,66;36 509,00;37,37;2 061,52;484,78;4 006,81;2 228,00;42,76;44,58;45,18;53,4;38 589,25;21 796,01;1 312,53;4 201,00
99000000000;16.01.2019;55,34;81,92;68,9;31,11;50,5;29,19;27,24;142,32;27,23;55,59;33,82;118,9;49,57;275,33;195,98;0;0;177,58;294,18;0;186,79;378,83;215,95;579,85;64,71;451,6;5,98;133,65;80,09;16,77;27,79;70,78;5 455,07;4 650,99;5 649,00;3 540,29;538,12;7 624,73;1 888,86;1 233,22;2 707,98;1 924,08;1 216,54;2 047,48;1 378,48;946,94;3 677,80;3 834,78;1 011,41;1 118,44;0;0;3 260,24;620,07;0;373,22;459,59;442,56;335,9;8 036,57;786,46;33 235,00;42,03;2 068,83;455,74;4 479,88;2 323,00;42,74;44,57;45,11;53,44;40 885,87;23 554,41;1 621,34;4 161,04
99000000000;17.01.2019;56,53;88,14;67,41;31,21;55,95;32,07;27,12;143,76;27,7;52,77;31,33;108;49,7;287,86;202,1;0;0;180,6;290,05;0;182,72;379,12;216,35;580,7;64,4;447,35;5,95;131,54;79,14;17,28;31,59;71,78;5 373,07;4 588,74;5 526,15;2 958,77;451,98;8 039,47;1 686,64;956,63;2 204,74;1 643,57;1 053,12;1 643,44;1 410,24;833,23;4 362,30;3 455,71;908,27;1 157,28;0;0;3 048,22;595,47;0;336,76;391,53;391,83;291,07;6 729,69;751,58;30 257,00;32,65;1 795,01;408,35;3 656,45;2 032,00;42,72;44,57;45,21;53,33;39 273,86;23 350,06;1 122,38;3 349,41
99000000000;18.01.2019;57,28;95,4;68,22;29,46;53,76;34,81;27,93;145,8;27,03;56,71;38;88,5;49,43;280,84;200,09;0;331,65;183,99;293,65;0;196,53;380,7;216,51;589,06;63,71;466,45;6,1;138,95;81,07;17,19;31,2;81,21;5 356,85;4 582,79;5 400,06;3 609,40;564,55;9 049,31;1 854,14;1 193,22;2 372,60;1 926,43;1 915,13;2 073,28;1 660,25;927,28;6 562,50;3 509,37;1 050,78;1 253,96;0;117,86;3 701,93;729,78;0;482,89;530,76;536,73;358,86;8 540,57;1 062,12;36 515,00;46,86;2 350,14;446,32;4 594,60;2 706,77;42,73;44,57;45,16;53,28;41 065,62;23 738,73;1 559,15;2 731,49
99000000000;19.01.2019;57,78;94,62;73,08;30,29;49,58;31,88;27,7;154,09;27,06;53,02;35,77;111,3;49,61;283,78;195,66;0;408,54;184,02;300,55;0;199,19;378,88;218,73;598,66;63,6;469,26;6,13;137,54;82,56;17,79;29,41;80,54;5 619,59;4 797,04;5 749,46;3 409,25;573,92;5 889,43;1 996,04;1 415,32;2 856,20;2 276,09;2 031,49;2 336,08;1 808,94;1 137,29;5 114,50;3 619,44;1 024,00;1 176,99;0;173,44;3 666,83;853,04;0;419,13;410,94;444,32;361,94;7 697,51;837,14;37 087,00;47,57;2 220,11;446,92;4 404,86;2 817,00;42,71;44,57;45,13;53,3;37 460,81;23 293,04;1 748,99;3 209,31
99000000000;20.01.2019;57,32;86,32;71,93;29,56;60,23;36,73;28,03;150,85;26,87;54,11;33,93;110,9;49,02;280,47;197,66;0;387,49;177,67;297,5;0;198,67;377,74;218,05;573,62;63,86;470;5,93;133,23;80,71;17,63;27,4;72,99;5 541,17;4 728,54;5 681,21;3 046,69;507,57;5 232,40;2 190,57;1 124,25;1 682,47;2 110,50;1 478,62;1 899,67;1 244,70;1 003,73;4 090,10;3 619,58;849,13;1 100,84;0;109,99;2 781,63;677,42;0;313,74;360,96;324,76;316,98;6 803,31;686,06;37 468,30;40,69;1 903,27;406,69;3 797,65;2 191,00;42,7;44,52;45,1;52,57;31 540,05;18 531,09;1 422,22;1 260,53
99000000000;21.01.2019;54,4;96,27;69,73;29,25;51,11;34,02;28,76;153,94;27,07;56,69;36,61;87,3;50,04;272,73;206,73;0;431,46;177,75;293,99;0;191,83;376,06;211,32;584,86;63,7;442,57;5,85;133,25;82,29;18,18;30,56;79,39;5 472,49;4 685,59;5 509,07;2 989,48;420,06;7 302,00;1 313,10;972,39;1 931,87;1 734,35;1 326,92;1 770,21;1 142,16;827,27;4 659,00;3 608,82;882,37;1 127,20;0;86,26;2 761,87;544,36;0;305,07;388,99;424,15;276,08;7 430,24;690,39;30 929,00;41,28;1 744,49;436,74;3 413,20;2 474,00;42,75;44,59;45,19;53,35;36 421,99;22 292,98;1 748,19;3 149,92
99000000000;22.01.2019;54,95;93,63;71,29;29,4;63,98;34,62;28,07;155,67;28,16;57,72;38,27;89,8;49,74;300,73;195,08;0;0;179,65;285,93;0;189,1;375,52;219,18;582,22;63,76;439,32;5,9;135,19;81,24;17,28;29,75;73,77;5 509,02;4 714,19;5 554,45;3 162,83;491,89;6 552,33;1 636,78;916,73;1 826,99;1 976,32;1 281,71;1 660,85;1 275,04;1 007,12;5 103,10;3 361,74;913,59;1 291,90;0;0;3 010,59;622,06;0;323,33;491,43;380,75;299,26;7 004,79;737,33;31 035,00;37,99;1 920,16;372,67;3 745,25;2 519,00;42,75;44,57;45,07;53,27;38 868,61;20 789,25;1 744,53;3 687,65
99000000000;23.01.2019;56,76;98,03;72,66;30,61;57,15;36,72;27,63;157,15;28,02;53,04;39,72;93,1;50,76;294,9;167,88;0;354,3;182,83;289,88;0;165;373,42;219,47;572,38;64,61;452,18;5,86;133,87;82,83;17,13;27,91;71,17;5 441,14;4 647,70;5 481,44;2 736,80;431,06;5 897,15;1 481,63;842,84;1 628,98;1 701,13;1 254,76;1 703,01;1 362,86;822,14;4 903,10;3 028,38;857,7;1 450,87;0;105,86;2 871,96;491,94;0;538,68;448,05;403,28;312,58;6 863,57;706,14;29 120,00;35,05;1 625,69;361,15;3 530,16;2 137,00;42,8;44,59;45,06;53,33;36 684,67;20 347,36;1 429,29;4 742,29
99000000000;24.01.2019;56,46;91,77;69,93;29,44;60,41;32,72;27,86;161,25;27,99;59,3;37,03;115,8;49,86;305,11;191,81;0;422,88;186,97;289,57;0;185,12;378,12;220,21;596,11;64,1;464,98;5,83;128,57;82,56;16,77;28,76;73,33;5 652,27;4 826,00;5 832,83;2 783,16;447,68;6 951,99;1 600,98;787,52;2 266,62;1 767,12;1 277,15;1 674,94;1 037,66;813,47;3 522,50;3 159,02;877,3;1 158,60;0;94,83;2 729,23;568,9;0;368,69;418,42;340,22;297,37;6 840,73;636,57;28 911,00;39,05;1 635,72;401,58;3 632,06;2 077,00;42,77;44,59;45,16;53,29;36 627,73;20 778,33;1 382,86;3 548,84
99000000000;25.01.2019;54,59;99,74;70,01;31,22;64,27;34,2;28,11;152,49;28,62;54,79;31,24;113,5;49,54;308,5;198,75;0;396,19;188,66;292,47;0;188,52;373,85;211,29;604,3;64,08;460,38;5,84;137,4;82,64;17;29,49;78,78;5 576,99;4 762,85;5 741,66;3 356,61;525,98;7 295,77;1 842,10;899,33;2 087,59;1 347,31;1 794,13;1 929,46;1 535,05;922,03;4 638,80;3 482,48;845,12;1 291,09;0;179,18;3 340,25;684,25;0;474,12;498,52;566,94;333,19;7 869,61;901,69;35 508,00;44,3;1 874,52;441,64;3 649,41;2 537,00;42,77;44,55;45,13;53,28;39 570,91;21 270,47;1 628,10;3 895,45
99000000000;26.01.2019;60,31;95,44;73,06;30,26;60,08;32,54;29,63;155,56;28,58;60,69;31,09;113,9;49,62;299,79;202,63;0;415,65;186,42;297,01;0;201,7;372,79;215,6;606;64,47;476,02;5,81;133,42;83,01;17,5;31,44;79,67;5 683,46;4 850,77;5 836,04;3 161,98;553,34;5 705,90;2 058,37;1 073,22;2 521,61;1 512,45;2 105,81;2 103,44;1 569,62;1 025,44;4 760,10;3 691,95;870,19;1 046,19;0;190,44;3 184,09;787,72;0;406,29;449,84;468,68;336;7 162,71;792,07;37 683,00;49,59;2 234,77;504,28;3 977,99;2 491,00;42,74;44,56;45,18;53,04;35 983,23;19 968,68;1 838,90;4 201,33
99000000000;27.01.2019;58,28;99,75;70,9;28,88;52,9;34,24;30,01;148,63;28,67;53,49;29,9;113,9;48,92;301,77;198,63;0;429,98;183,86;292,12;0;193,4;354,72;218,54;590,51;64,04;462,27;5,46;127,79;81,85;17,16;29,17;71,66;5 591,83;4 774,18;5 749,66;2 694,28;462,53;5 217,68;2 001,51;1 000,66;2 088,37;991,45;1 682,24;1 793,07;1 562,14;937,27;4 062,10;3 098,01;802,84;1 006,99;0;82,99;2 536,50;529,67;0;293,72;462,07;367,56;313,35;6 985,81;692,29;38 826,00;39,16;1 740,54;404,82;3 387,58;1 913,19;42,6;44,49;45;52,79;31 860,48;20 782,28;947,57;958,48
99000000000;28.01.2019;56,25;98,37;70,46;29,99;57,7;32,42;28,39;163,23;29,2;60,51;31,23;109,9;50,01;295,15;202,01;0;0;181,31;298,99;0;196,65;355;212,46;596,64;65,55;450,4;5,4;138,78;82,04;18,04;28,28;71,57;5 541,65;4 731,80;5 694,45;2 601,34;370,07;6 195,48;1 349,19;761,17;2 184,02;691,18;1 254,14;1 520,49;1 137,83;736,88;4 053,80;2 852,66;794,31;1 009,60;0;0;2 473,85;491;0;319,89;475,44;412,3;284,39;7 214,58;712,97;31 263,00;29,54;1 422,03;345,07;3 012,94;1 994,12;42,79;44,55;45,15;53,36;38 859,45;21 312,27;1 548,00;2 355,08
99000000000;29.01.2019;53,41;99,74;68,84;29,29;65,54;33,07;28,69;161,17;28,9;61,37;35,08;113;50,28;295,15;201,47;0;399,75;184,09;294,34;0;202,43;359,44;216,64;552,84;65,07;475,69;5,31;136,63;82,57;18,44;29,36;75,83;5 577,30;4 762,48;5 742,84;2 761,60;347,44;7 264,49;1 490,35;700,7;2 092,70;657,71;1 273,04;1 473,69;1 129,23;749,65;3 691,20;2 897,30;763,73;1 038,49;0;103,81;2 430,59;553,71;0;293;447,42;418,28;339,8;7 622,85;656,32;30 475,00;40,52;1 520,09;399,11;3 293,36;2 172,00;42,76;44,57;45,25;51,62;39 767,72;23 605,44;1 093,26;2 143,12
99000000000;30.01.2019;55,29;95,56;69,99;30,26;60,51;33,26;27,34;156,03;28,47;57,08;31;113,6;49,88;295,49;194,06;0;346,73;188,68;293,33;0;193,71;364,74;223,07;580,69;64,88;463,99;5,3;134,57;80,74;18,57;31,07;73,02;5 491,20;4 685,24;5 657,08;2 988,28;421,46;6 910,61;1 537,22;786,72;2 181,83;712,02;1 462,16;1 737,18;1 249,71;950,53;4 036,30;3 361,33;846,84;1 222,08;0;155,17;2 852,86;551,89;0;376,15;457,87;387,01;289,49;7 862,02;692,92;34 798,00;34,09;1 681,92;473,68;3 670,76;2 316,00;42,75;44,58;45,12;51,4;37 470,00;22 470,95;1 437,07;2 808,88
99000000000;31.01.2019;55,11;97,02;69,52;29,38;57,83;33,59;27,28;157,89;29,13;59,46;31,25;116,4;50,04;292,42;199,98;0;0;185,34;295,13;0;195,12;374,14;214,52;584,33;64,57;467,02;5,22;130,87;80,12;19,44;28,73;77,72;5 626,53;4 805,26;5 812,03;2 805,60;453,06;7 059,87;1 563,02;914,25;2 151,25;858,48;1 570,99;1 752,40;1 513,99;852,89;4 140,40;2 974,16;862,66;1 248,75;0;0;2 862,63;550,77;0;373,57;391,48;440,41;288,25;7 545,38;706,64;38 343,00;44,04;1 904,11;379,83;3 559,46;2 378,00;42,75;44,55;45,03;51,61;39 283,10;23 276,76;1 308,89;4 141,00
99000000000;01.02.2019;54,85;105,26;70,9;30,31;54,8;33,74;28,16;161,43;29,18;60,19;33,8;107,7;49,38;285,48;190,28;0;0;178,76;293,73;0;198,71;368,69;215,83;574,48;64,37;473,48;5,31;133,21;80,24;16,8;29,15;76,44;5 554,54;4 741,38;5 688,19;3 128,62;550,9;7 118,16;1 918,80;1 125,73;2 541,79;1 252,86;2 076,97;1 952,59;1 832,38;969,85;5 930,80;4 062,86;985,65;1 412,67;0;0;3 849,29;785,38;0;466,18;535,84;526,5;343,33;7 958,25;912,47;43 425,00;37,83;2 340,43;571,31;4 524,39;2 626,29;42,72;44,55;45,02;51,16;43 524,10;25 669,77;1 192,22;3 247,23
99000000000;02.02.2019;57,37;108,71;72,62;30,26;58,66;32,41;28,68;159,48;29,29;57,07;32,84;115,8;49,51;280,57;190,84;0;416,71;189,04;299,03;0;204,37;373,61;220,56;578,3;64,13;461,78;5,4;133,21;81,43;18,43;29,94;77,08;5 664,58;4 832,75;5 815,74;3 295,72;547,76;5 689,01;2 176,77;1 217,75;2 993,92;1 281,45;2 213,99;2 228,50;2 078,33;918,06;5 247,90;3 929,79;998,71;1 345,18;0;143,77;3 724,51;754,24;0;401,34;425,49;443,83;349,15;7 832,96;949,75;43 396,00;54,28;2 402,48;456,42;4 744,96;2 587,00;42,69;44,53;45,05;51,59;40 136,05;23 732,60;1 381,17;1 254,23
99000000000;03.02.2019;57,04;112,47;71,91;29,39;56,78;32,3;26,98;149,13;29,13;54,24;34,8;115,2;48,67;286,91;194,41;0;428,65;183,77;296,12;0;196,54;364,29;209,19;586,56;62,82;448,63;5,27;127,08;82,51;18,66;27,78;76,11;5 600,56;4 778,30;5 749,26;2 793,74;469,76;5 267,91;2 017,72;1 060,86;2 305,77;1 517,91;1 725,03;1 860,08;2 017,50;923,66;4 405,20;3 512,97;759,96;1 148,43;0;112,02;2 778,89;551,1;0;313,13;370,83;430,19;310,66;7 253,28;773,8;41 754,00;45,13;1 954,97;392,42;4 093,02;1 957,00;42,66;44,55;45,28;50,44;32 902,63;22 321,70;978,3;1 275,56
99000000000;04.02.2019;55,81;104,56;69,31;30,41;49,32;30,57;27,54;159,9;29,97;60,77;31,21;109,7;49,82;274,71;197,98;0;0;181,19;294,47;0;200,03;365,35;219,39;592,54;64,25;446,98;5,3;133,23;80,03;18,47;27,95;70,75;5 546,88;4 737,72;5 701,17;2 546,90;423,09;6 600,85;1 277,36;926,07;2 322,28;915,66;1 332,61;1 808,61;1 448,31;867,4;4 203,00;3 074,80;845,03;1 266,54;0;0;2 785,84;488,26;0;305,82;425,63;370,94;304,68;7 083,77;790,85;36 018,00;34,64;1 723,57;389,84;3 261,66;2 066,00;42,75;44,52;45,32;50,55;40 414,08;23 615,28;1 592,81;967,77
99000000000;05.02.2019;53,78;106,41;67,68;31,88;52,14;31,62;27,09;153,24;29,97;58,69;32,16;112,1;49,63;285,75;198,95;0;428,7;182,18;301,86;0;212,32;381,06;220,18;589,89;63,89;464,98;5,26;131,49;80,42;18,83;27,9;71,01;5 581,35;4 770,08;5 748,82;3 086,00;446,77;7 977,91;1 680,48;1 106,93;2 462,64;961,61;1 342,28;1 589,43;1 485,38;902,61;4 374,30;3 765,93;959,55;1 456,48;0;116,19;3 142,20;551,93;0;353,98;471,54;380,39;314;7 798,19;803,19;39 661,00;50,81;1 986,35;396;4 196,93;2 378,16;42,76;44,56;45,15;50,7;41 750,13;25 173,04;1 264,32;1 302,77
99000000000;06.02.2019;54,29;100,46;68,97;29,74;54,24;30,33;27,33;159,17;29,29;57,14;36,09;110,2;49,74;282,73;191,72;0;0;184,17;287,88;0;208,54;376,37;214,46;589,35;64,58;462,21;5,32;126,02;81,14;18;27,7;71,87;5 604,16;4 789,14;5 760,56;3 082,06;458,52;7 252,59;1 787,00;1 059,99;2 626,86;1 118,10;1 334,26;1 823,80;1 576,93;919,82;4 326,50;3 945,24;975,69;1 500,61;0;0;2 935,25;475,64;0;342,85;475,89;473,44;315,69;6 932,31;761,73;38 547,00;43,89;2 094,24;374,67;4 183,97;2 587,00;42,71;44,58;45,32;51,36;43 037,18;24 997,96;1 235,17;1 018,55
99000000000;07.02.2019;53,24;99,13;67,97;30,04;55,72;30,17;26,63;158,5;29,55;59,28;37,8;109,4;49,92;317,77;200,32;0;418,87;185,03;300,61;0;207,42;380,79;216,25;591,57;64,31;462,23;5,29;128,94;81,23;18,97;28,64;69,7;5 585,41;4 774,47;5 741,14;3 101,38;474;7 477,20;2 269,42;952,26;2 639,64;1 220,14;1 282,65;1 788,37;1 581,35;865,57;4 384,40;3 244,70;895,4;1 271,72;0;102,11;3 053,02;621,17;0;370,61;447,81;418,24;276,21;7 258,68;708,07;38 307,00;44,3;2 138,57;426,07;3 780,62;2 205,00;42,73;44,53;45,16;51,05;41 329,49;23 676,37;1 174,35;1 848,16
